,7,10,48,39,22,23,47,37,25,33,prediction_label,predict,label
0,-0.30966178,-0.24878202,-0.4646649,-0.926058,-0.8037573,-0.596191,-0.92265505,-0.62301725,-0.650269,-0.39458445,3.9515732493929123,4,4.0
1,-0.30966178,-0.13979855,-0.022731945,-0.19684775,0.2663302,0.0336501,0.0010841265,-0.2866254,0.15031216,-0.001558763,0.012956905806774,1,0.0
2,-0.30966178,-0.3577655,-1.3737986,-1.8874243,-1.2009254,-1.3458936,-1.4854338,-2.2592695,-1.5301621,-0.6711601,5.010421378926386,5,5.0
3,-0.30966178,-0.5757324,-0.5288536,-0.43503505,-0.6206637,-0.53222483,-1.2311217,-0.48569795,-0.4268446,-0.53650486,3.9698820007559164,4,4.0
4,-0.30966178,0.29613534,-0.8669592,-0.9675018,-0.34068823,-0.83334285,-1.3086177,-0.9935302,-0.68439215,-0.5000917,2.993727181204874,3,3.0
5,-0.30966178,4.437507,-0.7766274,-0.674019,-0.9206513,-0.8451671,-2.092886,-0.99529976,-0.4339241,-0.6955997,4.973281958324737,5,5.0
6,-0.30966178,3.1297057,-0.4833197,-0.70774037,-0.41101876,-0.49639982,-0.33175325,-0.5548535,-0.5996567,-0.3704077,2.3991340237057512,2,2.0
7,-0.30966178,-0.3577655,-0.9201663,-0.80589646,-0.7973947,-0.94377244,-0.6796372,-0.7632573,-0.7467248,-0.51527905,3.116266174965784,3,4.0
8,-0.30966178,-0.6476615,-0.51216567,-0.90748394,-0.74112827,-0.66932243,-0.84911126,-1.0198768,-0.70382726,-0.26836205,3.001240121255243,3,3.0
9,-0.30966178,-0.5757324,-0.7988664,-0.761157,-0.5079403,-0.88815296,-1.8741012,-0.98005754,-0.61216015,-0.8011004,3.0212714884577085,3,3.0
10,-0.30966178,-0.5757324,-0.9517392,-0.9028895,-0.7200366,-0.69185394,-1.2761459,-1.2502673,-0.62713176,-0.45888996,1.0531897233363399,1,1.0
11,-0.30966178,-0.3577655,-0.2830921,-0.0059195906,-0.1676867,0.24768466,0.14825027,0.07853427,0.24994262,0.24655257,-0.015105105808140618,1,0.0
12,-0.30966178,-0.13979855,-0.43600646,-0.031467956,-0.2960238,-0.012427313,-0.9194659,-0.3584602,-0.16058388,-0.3310842,1.0055225130400707,1,1.0
13,-0.30966178,-0.5757324,-0.36635587,-0.46332973,-0.579979,-0.24265215,-0.3495532,-0.43305695,-0.44841668,-0.19628781,2.252211375552339,2,2.0
14,-0.30966178,0.29613534,-0.44127145,-0.529181,-0.54191524,-0.32088384,-0.43768218,-0.6007982,-0.48181087,-0.26395285,2.1725685023829824,2,2.0
15,-0.30966178,-0.5757324,-1.4001862,-1.0662687,-0.94232655,-1.4340717,-1.4101136,-1.7599813,-1.0902344,-0.8584399,4.971715123072176,5,5.0
16,-0.30966178,-0.3577655,-0.52784467,-1.0472858,-1.0529795,-0.6649612,-0.7700803,-1.1014296,-0.72565573,-0.2709173,3.0339111369352807,3,3.0
17,-0.30966178,-0.6847159,-0.11283081,-0.15934794,-0.14345801,-0.16272438,-0.17854427,-0.20441143,-0.10756055,-0.10215854,0.02612056496484394,1,0.0
18,-0.30966178,1.1680031,-0.56833977,-0.68400633,-0.8037816,-0.7225255,-1.2124645,-0.7573703,-0.52545005,-0.53603894,1.0409125788996643,1,1.0
19,-0.30966178,-0.6476615,-0.4764781,-0.2612246,-0.3643717,-0.42722222,-0.6760371,-0.3898428,-0.22182542,-0.2858252,2.1645434164408446,2,2.0
20,-0.30966178,-0.5757324,-0.5011246,-0.38061523,-0.48918107,-0.6690376,-1.1953741,-0.7030313,-0.2631509,-0.50258005,2.987887876834108,3,3.0
21,-0.30966178,-0.5757324,-0.5063462,-0.5203293,-0.5108408,-0.5042585,-0.7252887,-0.50559765,-0.4151617,-0.2656565,3.0531633701125953,3,2.0
22,-0.30966178,-0.3577655,-0.37384766,-0.07306635,-0.11029078,-0.03673521,-0.21892549,-0.1761438,-0.09210819,-0.057555594,0.42486921733034366,1,1.0
23,-0.30966178,0.29613534,-0.18009299,-0.16207047,-0.21242557,-0.2321689,-0.49175778,-0.31961232,-0.12751107,-0.17389065,0.9996001545511393,1,1.0
24,-0.30966178,0.7320692,-0.48486474,-0.5538284,-0.24878345,-0.5539838,-0.7989668,-0.7344083,-0.4330842,-0.28572196,2.012879924495544,2,2.0
