iter	Passed	Remaining
0	49	48959
1	50	25175
2	51	17113
3	52	13165
4	53	10621
5	54	9051
6	60	8512
7	61	7574
8	62	6855
9	63	6280
10	66	6007
11	100	8245
12	100	7651
13	106	7469
14	107	7036
15	107	6641
16	112	6517
17	113	6186
18	114	5891
19	114	5624
20	124	5800
21	125	5577
22	126	5361
23	127	5165
24	127	4964
25	128	4805
26	129	4654
27	129	4507
28	130	4369
29	178	5762
30	179	5609
31	180	5466
32	223	6543
33	224	6379
34	226	6256
35	228	6106
36	278	7252
37	279	7069
38	279	6896
39	280	6731
40	310	7260
41	311	7094
42	311	6936
43	312	6789
44	313	6644
45	313	6501
46	324	6570
47	325	6449
48	326	6332
49	340	6475
50	341	6362
51	343	6253
52	344	6148
53	345	6047
54	423	7281
55	424	7162
56	425	7047
57	426	6932
58	427	6820
59	428	6713
60	489	7529
61	489	7410
62	490	7295
63	491	7184
64	492	7078
65	505	7158
66	506	7057
67	507	6958
68	508	6863
69	509	6770
70	512	6707
71	514	6633
72	516	6552
73	570	7141
74	571	7045
75	571	6952
76	572	6862
77	573	6775
78	573	6688
79	574	6604
80	574	6523
81	607	6802
82	609	6729
83	609	6651
84	611	6579
85	613	6519
86	623	6547
87	624	6476
88	632	6477
89	633	6409
90	634	6341
91	636	6281
92	638	6228
93	639	6163
94	641	6107
95	641	6044
96	642	5985
97	643	5925
98	646	5886
99	648	5838
100	664	5915
101	665	5859
102	666	5802
103	666	5745
104	667	5690
105	679	5734
106	680	5680
107	681	5626
108	681	5574
109	682	5522
110	685	5486
111	726	5757
112	726	5705
113	727	5655
114	728	5605
115	729	5560
116	730	5511
117	730	5463
118	731	5415
119	732	5369
120	732	5323
121	734	5285
122	735	5242
123	739	5223
124	740	5180
125	753	5225
126	753	5182
127	754	5140
128	756	5106
129	758	5078
130	767	5088
131	767	5049
132	768	5010
133	802	5188
134	803	5149
135	804	5112
136	816	5141
137	843	5266
138	843	5227
139	844	5188
140	881	5372
141	887	5360
142	887	5320
143	888	5284
144	889	5246
145	890	5209
146	891	5172
147	892	5135
148	892	5099
149	893	5065
150	894	5030
151	895	4996
152	896	4965
153	898	4933
154	898	4899
155	899	4867
156	900	4836
157	936	4992
158	937	4959
159	938	4927
160	938	4893
161	939	4860
162	940	4827
163	978	4988
164	979	4956
165	980	4923
166	980	4892
167	981	4860
168	982	4829
169	983	4799
170	1010	4896
171	1011	4867
172	1014	4849
173	1031	4898
174	1033	4870
175	1034	4841
176	1035	4813
177	1123	5187
178	1124	5156
179	1141	5200
180	1142	5168
181	1152	5181
182	1153	5150
183	1154	5119
184	1155	5089
185	1155	5058
186	1156	5028
187	1157	4998
188	1188	5099
189	1189	5069
190	1189	5039
191	1190	5010
192	1191	4981
193	1192	4953
194	1194	4929
195	1197	4914
196	1201	4898
197	1203	4876
198	1231	4958
199	1233	4932
200	1234	4906
201	1235	4879
202	1236	4853
203	1280	4997
204	1281	4970
205	1291	4977
206	1297	4971
207	1299	4946
208	1301	4926
209	1326	4989
210	1327	4962
211	1399	5202
212	1402	5181
213	1403	5153
214	1403	5125
215	1404	5098
216	1430	5161
217	1468	5268
218	1469	5241
219	1471	5217
220	1516	5344
221	1516	5316
222	1517	5288
223	1518	5260
224	1519	5232
225	1519	5205
226	1520	5179
227	1521	5152
228	1553	5231
229	1554	5204
230	1556	5182
231	1573	5209
232	1574	5183
233	1575	5157
234	1602	5215
235	1604	5194
236	1614	5196
237	1615	5170
238	1690	5384
239	1691	5356
240	1692	5329
241	1692	5302
242	1693	5275
243	1715	5315
244	1716	5288
245	1716	5262
246	1717	5236
247	1718	5210
248	1719	5184
249	1719	5159
250	1720	5134
251	1756	5214
252	1757	5189
253	1758	5163
254	1758	5138
255	1759	5113
256	1759	5088
257	1761	5066
258	1762	5043
259	1765	5023
260	1766	5001
261	1768	4980
262	1769	4957
263	1773	4943
264	1776	4927
265	1780	4911
266	1834	5037
267	1877	5128
268	1878	5103
269	1969	5325
270	1972	5306
271	1973	5281
272	1974	5256
273	1974	5232
274	2025	5339
275	2043	5360
276	2059	5374
277	2059	5349
278	2060	5325
279	2085	5362
280	2122	5429
281	2126	5413
282	2127	5389
283	2127	5364
284	2136	5360
285	2156	5382
286	2156	5357
287	2191	5418
288	2192	5393
289	2193	5369
290	2193	5345
291	2194	5320
292	2195	5297
293	2206	5298
